web-scraper-order,web-scraper-start-url,product_name,price,product_discount
"1705465253-130","https://www.klikindomaret.com/category/Makanan-Instan","Nong Shim Chapagetti 140G","Rp 23.500",""
"1705465253-131","https://www.klikindomaret.com/category/Makanan-Instan","Nong Shim Instant Noodle Kimchi Ramyun 120g","Rp 14.900",""
"1705465253-132","https://www.klikindomaret.com/category/Makanan-Instan","Nong Shim Instant Noodle Kimchi Ramyun 70G","Rp 22.500",""
"1705465253-133","https://www.klikindomaret.com/category/Makanan-Instan","Nong Shim Instant Noodle Korean Clay Pot 120g","Rp 14.900",""
"1705465253-134","https://www.klikindomaret.com/category/Makanan-Instan","Nong Shim Instant Noodle Korean Clay Pot 70g","Rp 17.900",""
"1705465253-135","https://www.klikindomaret.com/category/Makanan-Instan","Nong Shim Instant Noodle Shin Ramyun Shrimp 120g","Rp 14.900",""
"1705465253-136","https://www.klikindomaret.com/category/Makanan-Instan","Nong Shim Instant Noodle Shin Ramyun Spicy Mushroom 72G","Rp 17.900",""
"1705465253-137","https://www.klikindomaret.com/category/Makanan-Instan","Nong Shim Kimchi Ramyun Spicy 120G","Rp 18.900",""
"1705465253-138","https://www.klikindomaret.com/category/Makanan-Instan","Nong Shim Potato Noodle Soup 110G","Rp 13.100",""
"1705465253-139","https://www.klikindomaret.com/category/Makanan-Instan","Oishi Snack Popcorn Mentega Belgia 100G","Rp 17.900",""
"1705465253-140","https://www.klikindomaret.com/category/Makanan-Instan","Paldo Instant Noodle Jjajang Men 200g","Rp 19.200",""
"1705465253-141","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Instan Ayam 75G","Rp 5.300",""
"1705465253-142","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Instan Baso 75G","Rp 5.300",""
"1705465253-143","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Instan Mini Baso Sapi 35G","Rp 3.500",""
"1705465253-144","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Mi Goreng Jumbo Spesial 80G","Rp 5.500",""
"1705465253-145","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Mi Instan Ayam Bawang 75G","Rp 5.300",""
"1705465253-146","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Mi Instan Goreng Pedes Gledeek Ayam 75G","Rp 5.800",""
"1705465253-147","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Mi Instan Kari Ayam 75G","Rp 5.300",""
"1705465253-148","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Mi Instan Mini Ayam Bawang 35G","Rp 3.500",""
"1705465253-149","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Mi Instan Mini Soto Mie 35G","Rp 3.500",""
"1705465253-150","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Mi Instan Pedas Dower Ayam 75G","Rp 5.800",""
"1705465253-151","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Mi Instan Pedes Dower Pangsit Jontor 75g","Rp 5.800",""
"1705465253-152","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Mi Instan Soto Ayam 75G","Rp 5.300",""
"1705465253-153","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Mi Instan Tori Kara Ramen 70G","Rp 5.900",""
"1705465253-154","https://www.klikindomaret.com/category/Makanan-Instan","Pop Mie Mi Instan Tori Miso Ramen 77g","Rp 5.900",""
"1705465253-155","https://www.klikindomaret.com/category/Makanan-Instan","Rani Abon Ayam Spesial Original 250g","Rp 95.900",""
"1705465253-156","https://www.klikindomaret.com/category/Makanan-Instan","Rani Abon Ayam Spesial Pedas Sedang 250g","Rp 95.900",""
"1705465253-157","https://www.klikindomaret.com/category/Makanan-Instan","Rani Sarundeng Pedas 250g","Rp 39.400",""
"1705465253-158","https://www.klikindomaret.com/category/Makanan-Instan","Ratu Abon Sapi 100G","Rp 20.900",""
"1705465253-159","https://www.klikindomaret.com/category/Makanan-Instan","Royco Sup Krim Ayam 58G","Rp 9.100",""
"1705465253-160","https://www.klikindomaret.com/category/Makanan-Instan","Samyang Buldak Ramen Cream Carbonara 140G","Rp 24.900",""
"1705465253-161","https://www.klikindomaret.com/category/Makanan-Instan","Samyang Buldak Ramen Jjajang 140G","Rp 24.700",""
"1705465253-162","https://www.klikindomaret.com/category/Makanan-Instan","Samyang Mi Instant Stew Type 120G","Rp 27.500",""
"1705465253-163","https://www.klikindomaret.com/category/Makanan-Instan","Samyang Mie Instant Goreng Pedas Ayam Keju 140G","Rp 25.500",""
"1705465253-164","https://www.klikindomaret.com/category/Makanan-Instan","Samyang Mie Instant Goreng Pedas Jjajang 105G","Rp 29.500",""
"1705465253-165","https://www.klikindomaret.com/category/Makanan-Instan","San Remo La Pasta Alfredo 120g","Rp 25.200",""
"1705465253-166","https://www.klikindomaret.com/category/Makanan-Instan","San Remo La Pasta Macaroni Cheese 120g","Rp 25.200",""
"1705465253-167","https://www.klikindomaret.com/category/Makanan-Instan","Sarimi Mi Instan Goreng (Isi 2) Ayam Kecap 126G","Rp 4.000",""
"1705465253-168","https://www.klikindomaret.com/category/Makanan-Instan","Sarimi Mi Instan Goreng Ayam Kremess 125G","Rp 4.000",""
"1705465253-169","https://www.klikindomaret.com/category/Makanan-Instan","Sarimi Mie Instan Ayam Bawang 75G","Rp 3.000",""
